"","DEP.Result.ID","Activity.ID","year","month","day","time","Activity.Start.Date.Time","lat_deg","lat_min","Org.Decimal.Latitude","lon_deg","lon_min","Org.Decimal.Longitude","Monitoring.Location.ID","Activity.Type","Activity.Depth","Activity.Depth.Unit","Activity.Depth.Top.Bottom.Unit","Sample.Collection.Type","Activity.Top.Depth","Activity.Bottom.Depth","Value.Qualifier","Result.Comments","DEP.Analyte.Name","DEP.Result.Value.Number","DEP.Result.Unit","program","RowID","ProgramID","ProgramName","Habitat","IndicatorID","IndicatorName","ParameterID","ParameterName","ParameterUnits","ProgramLocationID","AreaID","ManagedAreaName","Region","ActivityType","SampleDate","ResultValue","Year","Month","ActivityDepth_m","RelativeDepth","TotalDepth_m","MDL","PQL","DetectionUnit","ValueQualifier","ValueQualifierSource","SampleFraction","ResultComments","OriginalLatitude","OriginalLongitude","SEACAR_QAQCFlagCode","SEACAR_QAQC_Description","Include","SEACAR_EventID","MADup","ExportVersion","data_source","CLIENT SAMPLE ID","LAB SAMPLE ID","MATRIX","COLLECTED","ANALYTE","SAMPLE RESULT","REPORTING LIMIT","UNITS","METHOD","DILUTION","ANALYZED","PREPARED","source_file","SAMPLE COLLECTION DATE","Organization.ID","Org.Latitude..DD.MM.SS.SSSS.","Org.Longitude..DD.MM.SS.SSSS.","WBID","Matrix","Sampling.Agency.Name","DEP.Result.Value.Text","DEP.MDL","DEP.PQL","Sample.Fraction","Lab.ID","Audit.Censored.Decisions"
"...396",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","10","35913905012","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...397",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","11","35913905013","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...398",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","12","35913905014","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...399",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","13","35913905015","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...400",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","14","35913905016","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...401",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","15","35913905017","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...402",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","16","35913905018","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...403",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","17","35913905019","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...404",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","18","35913905020","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...405",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","19","35913905021","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...406",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","20","35913905022","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...407",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","21","35913905023","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...408",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","22","35913905024","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...409",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","23","35913905025","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...410",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","24","35913905026","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...411",NA,NA,NA,NA,NA,NA,"10/22/2024 12:00:00",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","25","35913905027","Water","10/22/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-22-2024.xls","10-22-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...412",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","26","35914062001","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...413",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","27","35914062002","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...414",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","28","35914062003","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...415",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","32","35914062004","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...416",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","33","35914062005","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...417",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","29","35914062006","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...418",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","30","35914062007","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...419",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","31","35914062008","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...420",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","34","35914062009","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...421",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","41","35914062010","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...422",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","40","35914062011","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...423",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","39","35914062012","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...424",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","38","35914062013","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...425",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.11,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","37","35914062014","Water","10/23/2024","Nitrogen, Ammonia","0.11","0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...426",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","36","35914062015","Water","10/23/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...427",NA,NA,NA,NA,NA,NA,"10/23/2024 12:00:00",NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.04,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","35","35914062016","Water","10/23/2024","Nitrogen, Ammonia","0.040","0.050","mg/L","350.1 Ammonia","1","11/01/2024","11/01/2024","Results 10-23-2024.xls","10-23-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...428",NA,NA,NA,NA,NA,NA,"11/19/2024 12:00:00",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","26","35920081001","Water","11/19/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/23/2024","11/23/2024","Results 11-19-2024.xls","11-19-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...429",NA,NA,NA,NA,NA,NA,"11/19/2024 12:00:00",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","27","35920081002","Water","11/19/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/23/2024","11/23/2024","Results 11-19-2024.xls","11-19-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...430",NA,NA,NA,NA,NA,NA,"11/19/2024 12:00:00",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","28","35920081003","Water","11/19/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/23/2024","11/23/2024","Results 11-19-2024.xls","11-19-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...431",NA,NA,NA,NA,NA,NA,"11/19/2024 12:00:00",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","32","35920081004","Water","11/19/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/23/2024","11/23/2024","Results 11-19-2024.xls","11-19-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...432",NA,NA,NA,NA,NA,NA,"11/19/2024 12:00:00",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","33","35920081005","Water","11/19/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","11/23/2024","11/23/2024","Results 11-19-2024.xls","11-19-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
